============================================================================================
    Date     Time  Temp SpCond  Cond    pH      pH Turbid+   Chl   Chl ODOsat    ODO Battery
   m/d/y hh:mm:ss     C  uS/cm mS/cm            mV     NTU  ug/L   RFU      %   mg/L   volts
--------------------------------------------------------------------------------------------
08/07/12 11:01:12 18.88    248 0.219  8.38  -126.8    -0.3   0.2   0.1  117.5  10.92    11.6
08/07/12 11:31:12 19.01    248 0.219  8.39  -127.5    -0.1   0.2   0.1  118.1  10.94    11.6
08/07/12 12:01:12 19.26    247 0.220  8.46  -132.0    -0.5   0.0   0.0  124.0  11.43    11.5
08/07/12 12:31:12 20.80    250 0.230  8.44  -131.1    -0.6  -0.2  -0.1  120.0  10.74    11.6
08/07/12 13:01:12 21.92    251 0.236  8.42  -130.4    -0.5   0.2   0.1  111.7   9.78    11.6
08/07/12 13:31:13 21.68    249 0.234  8.44  -131.5    -0.5   0.7   0.2  114.9  10.10    11.6
08/07/12 14:01:12 22.01    250 0.236  8.45  -132.0    -0.5   0.3   0.1  113.5   9.92    11.6
08/07/12 14:31:12 22.67    251 0.240  8.43  -130.9    -0.5   0.3   0.1  108.7   9.38    11.6
08/07/12 15:01:12 22.58    251 0.239  8.45  -132.4    -0.5   0.2   0.1  112.5   9.72    11.5
08/07/12 15:31:12 22.07    249 0.236  8.47  -133.4    -0.1  -0.1   0.0  117.0  10.21    11.5
08/07/12 16:01:12 22.54    250 0.239  8.49  -134.4    -0.7   0.1   0.0  116.2  10.05    11.5
08/07/12 16:31:13 17.01    244 0.207  8.50  -133.4     0.0   0.3   0.1  132.9  12.83    11.6
08/07/12 17:01:13 15.50    245 0.201  8.39  -126.6    -0.4   0.1   0.0  123.3  12.29    11.6
08/07/12 17:31:13 15.02    245 0.198  8.41  -127.5    -0.1   0.2   0.1  124.6  12.55    11.5
08/07/12 18:01:13 14.69    245 0.197  8.39  -126.5    -0.2   0.3   0.1  122.7  12.45    11.5
08/07/12 18:31:13 14.60    245 0.196  8.41  -127.3    -0.1   0.0   0.0  124.1  12.61    11.5
08/07/12 19:01:13 14.56    245 0.196  8.41  -127.6    -0.2   0.0   0.0  124.1  12.62    11.6
08/07/12 19:31:13 14.54    245 0.196  8.41  -127.6    -0.3   0.0   0.0  124.0  12.62    11.6
08/07/12 20:01:13 14.90    245 0.198  8.40  -127.1    -0.4   0.3   0.1  123.3  12.45    11.6
08/07/12 20:31:13 15.27    246 0.200  8.39  -126.5    -0.4   0.2   0.1  122.1  12.24    11.6
08/07/12 21:01:13 15.71    246 0.202  8.39  -126.4    -0.3   0.4   0.1  121.2  12.03    11.6
08/07/12 21:31:13 16.69    246 0.207  8.42  -128.4    -0.4   1.1   0.3  123.8  12.04    11.6
08/07/12 22:01:13 16.83    245 0.207  8.41  -128.2    -0.4   0.0   0.0  123.3  11.96    11.5
08/07/12 22:31:12 17.66    246 0.212  8.42  -129.3    -0.4   0.1   0.0  123.3  11.75    11.6
08/07/12 23:01:13 19.18    247 0.220  8.44  -130.5    -0.5   0.2   0.1  122.0  11.27    11.6
08/07/12 23:31:12 19.39    248 0.221  8.43  -130.3    -0.4   0.9   0.3  121.5  11.17    11.5
08/08/12 00:01:13 19.57    248 0.222  8.42  -129.4    -0.4  -0.4  -0.1  119.3  10.94    11.5
08/08/12 00:31:13 19.38    248 0.221  8.43  -129.8    -0.4   0.2   0.1  120.9  11.12    11.5
08/08/12 01:01:13 19.64    248 0.222  8.38  -127.1    -0.4   0.4   0.1  117.0  10.71    11.6
08/08/12 01:31:12 23.17    251 0.242  8.42  -130.7    -0.5   0.2   0.0  110.5   9.45    11.5
08/08/12 02:01:12 23.34    252 0.244  8.41  -130.2    -0.5   0.4   0.1  107.6   9.17    11.6
08/08/12 02:31:12 23.31    252 0.244  8.40  -129.2    -0.4   0.6   0.2  106.3   9.06    11.5
08/08/12 03:01:12 20.22    248 0.226  8.38  -127.0     0.0   0.3   0.1  116.1  10.50    11.6
08/08/12 03:31:13 20.23    248 0.226  8.37  -126.6    -0.2   0.0   0.0  116.7  10.55    11.6
08/08/12 04:01:13 20.63    249 0.228  8.37  -126.8     0.4   0.9   0.3  114.9  10.31    11.6
08/08/12 04:31:13 19.79    249 0.224  8.29  -122.1     2.6   0.5   0.2  110.6  10.09    11.6
08/08/12 05:01:13 21.08    252 0.233  8.29  -122.2     2.3   1.3   0.4  106.0   9.43    11.6
08/08/12 05:31:12 22.68    252 0.241  8.33  -125.1     1.7   0.4   0.1  102.2   8.81    11.5
08/08/12 06:01:12 23.33    253 0.245  8.35  -126.6     2.5   0.5   0.2  102.0   8.69    11.6
08/08/12 06:31:12 23.36    253 0.245  8.34  -125.8     3.7   0.4   0.1  101.0   8.60    11.6
08/08/12 07:01:12 23.40    252 0.245  8.36  -126.8     1.7   0.4   0.1  101.9   8.67    11.6
08/08/12 07:31:12 23.38    252 0.244  8.37  -127.4     1.7   0.3   0.1  103.3   8.79    11.6
08/08/12 08:01:13 23.35    252 0.245  8.37  -127.6     0.6   0.0   0.0  104.1   8.86    11.6
08/08/12 08:31:13 23.40    253 0.245  8.38  -128.2     0.3   0.8   0.2  104.9   8.92    11.6
08/08/12 09:01:12 20.34    249 0.227  8.32  -123.6     2.1   1.6   0.5  111.3  10.05    11.5
08/08/12 09:31:13 19.34    248 0.222  8.30  -122.1     2.7   2.9   0.9  112.4  10.35    11.6
08/08/12 10:01:13 17.60    247 0.212  8.28  -120.8     3.2   1.2   0.4  115.3  11.00    11.6
08/08/12 10:31:13 18.64    249 0.218  8.31  -122.5     3.6   1.5   0.5  114.3  10.68    11.6
08/08/12 11:01:13 19.31    248 0.221  8.35  -125.5     3.1   1.2   0.4  115.8  10.67    11.6
08/08/12 11:31:12 23.08    251 0.242  8.38  -128.1     0.4   0.1   0.0  103.3   8.85    11.5
08/08/12 12:01:13 18.65    248 0.218  8.39  -127.3     5.3   0.7   0.2  118.5  11.07    11.6
08/08/12 12:31:13 23.14    251 0.243  8.38  -128.4     0.5   0.0   0.0  103.9   8.89    11.5
08/08/12 13:01:13 17.26    246 0.210  8.42  -129.0     4.4   1.2   0.4  124.7  11.98    11.6
08/08/12 13:31:13 16.91    246 0.208  8.39  -127.0     4.5   0.9   0.3  123.6  11.96    11.6
08/08/12 14:01:13 16.98    246 0.208  8.44  -130.1     4.0   0.9   0.3  127.0  12.27    11.4
08/08/12 14:31:13 19.82    248 0.223  8.44  -131.1     1.5   0.3   0.1  115.2  10.50    11.5
08/08/12 15:01:12 23.27    251 0.243  8.41  -130.2     0.7   3.5   1.0  106.8   9.10    11.4
08/08/12 15:31:12 23.37    252 0.244  8.39  -129.0     0.4   1.0   0.3  105.5   8.98    11.5
08/08/12 16:01:12 23.35    252 0.244  8.38  -128.1     0.9   0.6   0.2  104.6   8.91    11.5
08/08/12 16:31:12 23.40    252 0.244  8.37  -127.8     0.3   0.1   0.0  104.3   8.87    11.5
08/08/12 17:01:12 23.38    252 0.244  8.37  -127.5     1.2   0.8   0.3  103.9   8.85    11.5
08/08/12 17:31:12 23.38    252 0.244  8.36  -127.1     0.6   0.3   0.1  103.5   8.81    11.6
08/08/12 18:01:12 23.41    252 0.244  8.36  -126.9     0.7   0.8   0.2  102.9   8.75    11.5
08/08/12 18:31:12 23.42    252 0.245  8.36  -126.8     1.0   1.1   0.3  102.7   8.74    11.5
08/08/12 19:01:12 23.42    252 0.245  8.36  -127.0     0.6   0.0   0.0  103.2   8.78    11.6
08/08/12 19:31:12 23.42    252 0.244  8.37  -127.9     0.4   0.2   0.1  104.0   8.84    11.6
08/08/12 20:01:12 23.40    252 0.244  8.37  -127.5     0.9   0.3   0.1  103.5   8.80    11.5
08/08/12 20:31:12 23.39    252 0.244  8.37  -127.4     0.7   0.4   0.1  103.2   8.79    11.5
08/08/12 21:01:12 23.40    252 0.244  8.38  -127.9     0.7  -0.8  -0.2  103.9   8.84    11.5
08/08/12 21:31:13 23.35    252 0.244  8.34  -125.7     2.1  -0.1   0.0  100.8   8.59    11.5
08/08/12 22:01:12 23.35    252 0.244  8.36  -127.0     1.0   0.1   0.0  102.2   8.70    11.5
08/08/12 22:31:12 23.32    252 0.244  8.36  -126.8     1.7   0.2   0.0  102.2   8.71    11.6
08/08/12 23:01:12 23.33    252 0.244  8.38  -127.9     0.9   0.0   0.0  102.9   8.77    11.5
08/08/12 23:31:13 23.32    252 0.244  8.37  -127.6     1.2   0.1   0.0  103.1   8.79    11.6
08/09/12 00:01:12 23.31    252 0.244  8.36  -127.1     2.0   0.1   0.0  102.2   8.71    11.5
08/09/12 00:31:12 23.30    252 0.244  8.34  -126.0     1.1   0.1   0.0  100.6   8.58    11.5
08/09/12 01:01:12 23.29    252 0.244  8.35  -126.3     0.7  -0.4  -0.1  100.9   8.60    11.6
08/09/12 01:31:12 23.23    252 0.244  8.32  -124.8     1.7   0.4   0.1   99.4   8.49    11.5
08/09/12 02:01:12 23.21    252 0.243  8.32  -124.6     0.5   0.2   0.1   99.2   8.47    11.5
08/09/12 02:31:12 23.20    252 0.243  8.32  -124.3     0.8   0.5   0.1   98.8   8.44    11.5
08/09/12 03:01:12 23.19    252 0.243  8.30  -123.4     1.1  -0.1   0.0   97.5   8.33    11.5
08/09/12 03:31:12 23.19    252 0.243  8.32  -124.3     0.4   0.2   0.1   98.8   8.44    11.5
08/09/12 04:01:13 23.18    252 0.243  8.31  -124.1     0.3   0.2   0.0   98.4   8.41    11.6
08/09/12 04:31:13 23.16    252 0.243  8.30  -123.6     0.5   0.3   0.1   97.8   8.36    11.5
08/09/12 05:01:12 23.15    252 0.243  8.30  -123.4     0.5   0.2   0.1   97.4   8.33    11.4
08/09/12 05:31:12 23.15    252 0.243  8.30  -123.3     0.6   0.2   0.1   97.4   8.33    11.5
08/09/12 06:01:13 23.15    252 0.243  8.30  -123.4     0.4   0.4   0.1   97.5   8.33    11.6
08/09/12 06:31:13 23.13    252 0.243  8.30  -123.5     0.3   0.6   0.2   97.6   8.35    11.5
08/09/12 07:01:12 23.14    252 0.243  8.30  -123.0     0.9   1.0   0.3   96.8   8.28    11.5
08/09/12 07:31:12 23.13    252 0.243  8.29  -122.7     1.1  -0.7  -0.2   95.9   8.20    11.5
08/09/12 08:01:13 23.10    252 0.243  8.29  -122.4     0.7   1.0   0.3   95.7   8.18    11.5
08/09/12 08:31:13 23.11    252 0.243  8.28  -122.1     2.7   0.4   0.1   95.4   8.16    11.5
08/09/12 09:01:12 23.11    252 0.243  8.28  -121.9     0.9   0.6   0.2   95.2   8.15    11.5
08/09/12 09:31:12 23.10    252 0.243  8.27  -121.4     1.8   0.7   0.2   94.1   8.05    11.5
08/09/12 10:01:12 23.06    252 0.243  8.28  -121.8     1.7   0.6   0.2   94.8   8.11    11.5
08/09/12 10:31:13 23.02    252 0.243  8.27  -121.3     2.7   0.7   0.2   94.4   8.09    11.5
08/09/12 11:01:13 23.02    252 0.243  8.27  -121.2     4.0   0.4   0.1   94.6   8.10    11.5
08/09/12 11:31:13 22.97    252 0.242  8.30  -123.2     5.6   0.2   0.1   96.5   8.28    11.5
08/09/12 12:01:13 22.97    252 0.242  8.33  -124.9     2.4   0.5   0.1   98.2   8.42    11.5
08/09/12 12:31:13 22.95    252 0.242  8.33  -124.8     1.8   0.8   0.2   98.1   8.42    11.5
08/09/12 13:01:13 22.96    252 0.242  8.32  -124.6     2.8   2.5   0.8   97.5   8.37    11.5
08/09/12 13:31:13 22.95    252 0.242  8.32  -124.6     2.1   1.1   0.3   97.7   8.38    11.5
08/09/12 14:01:13 22.93    252 0.242  8.32  -124.5     2.3   1.1   0.3   97.3   8.35    11.5
08/09/12 14:31:12 22.89    252 0.241  8.31  -124.0     2.5   0.2   0.1   96.5   8.29    11.4
08/09/12 15:01:12 22.86    251 0.241  8.31  -124.0     4.5   0.2   0.1   96.4   8.29    11.5
08/09/12 15:31:13 22.82    251 0.241  8.31  -123.7     3.8   0.5   0.2   96.1   8.27    11.5
08/09/12 16:01:12 22.79    251 0.241  8.31  -123.5     3.9   0.7   0.2   95.7   8.24    11.5
08/09/12 16:31:13 22.76    251 0.240  8.31  -123.8     3.1   0.1   0.0   95.9   8.26    11.5
08/09/12 17:01:13 22.72    251 0.240  8.31  -123.8    17.2   0.7   0.2   95.8   8.26    11.5
08/09/12 17:31:12 22.71    251 0.240  8.31  -124.1     3.3   0.7   0.2   95.7   8.25    11.4
08/09/12 18:01:13 22.78    251 0.240  8.32  -124.6     2.3   0.9   0.3   96.6   8.32    11.5
08/09/12 18:31:12 22.75    251 0.240  8.32  -124.4     2.5  -0.3  -0.1   96.4   8.30    11.5
08/09/12 19:01:13 22.71    251 0.240  8.32  -124.5     1.6   0.4   0.1   96.2   8.29    11.5
08/09/12 19:31:13 22.59    251 0.239  8.29  -122.6     2.3   0.1   0.0   93.9   8.11    11.5
08/09/12 20:01:12 22.64    251 0.240  8.29  -122.6     2.1   0.6   0.2   93.7   8.09    11.4
08/09/12 20:31:13 22.70    251 0.240  8.30  -123.0     1.7   0.0   0.0   94.1   8.12    11.5
08/09/12 21:01:13 22.81    251 0.241  8.31  -123.5     1.0   0.4   0.1   95.3   8.20    11.5
08/09/12 21:31:13 22.86    252 0.242  8.31  -123.7     1.3   0.7   0.2   96.1   8.27    11.5
08/09/12 22:01:13 22.85    252 0.241  8.31  -123.9     1.7   0.2   0.1   96.4   8.29    11.5
08/09/12 22:31:13 22.84    252 0.241  8.31  -123.9     1.7   0.8   0.3   96.5   8.29    11.4
08/09/12 23:01:13 22.85    252 0.241  8.31  -123.7     2.1   0.2   0.1   96.3   8.28    11.5
08/09/12 23:31:13 22.83    252 0.241  8.31  -123.7     2.4   0.5   0.1   96.4   8.29    11.5
08/10/12 00:01:13 22.79    251 0.241  8.31  -123.7     3.7   0.9   0.3   96.6   8.31    11.5
08/10/12 00:31:13 22.76    251 0.241  8.30  -123.3     7.7   1.5   0.5   96.2   8.28    11.5
08/10/12 01:01:12 22.73    252 0.241  8.29  -122.7    41.7   9.2   2.7   95.5   8.23    11.4
08/10/12 01:31:10 22.70    251 0.240  8.29  -122.4    50.9   8.7   2.6   95.3   8.22    11.5
08/10/12 02:01:12 22.65    251 0.240  8.30  -123.0    41.0  10.2   3.0   95.8   8.27    11.4
08/10/12 02:31:13 22.61    251 0.240  8.30  -123.1    40.7   6.0   1.8   96.0   8.29    11.5
08/10/12 03:01:13 22.59    251 0.240  8.30  -123.3    45.4   7.6   2.3   95.9   8.29    11.5
08/10/12 03:31:13 22.57    251 0.240  8.31  -123.5    34.9   5.7   1.7   96.4   8.33    11.5
08/10/12 04:01:13 22.56    251 0.240  8.31  -123.7    33.8   8.5   2.5   96.5   8.35    11.4
08/10/12 04:31:13 22.57    251 0.240  8.30  -123.2    45.4   6.3   1.9   95.7   8.28    11.5
08/10/12 05:01:14 22.58    251 0.240  8.30  -123.1    32.7   5.4   1.6   95.6   8.26    11.4
08/10/12 05:31:13 22.57    251 0.240  8.30  -123.0    49.2  25.5   7.5   95.9   8.29    11.4
08/10/12 06:01:09 22.55    251 0.240  8.30  -123.0    48.1 377.5 110.9   95.8   8.28    11.5
08/10/12 06:31:17 22.49    251 0.239  8.30  -123.3    40.3   4.6   1.4   96.2   8.32    11.4
08/10/12 07:01:13 22.47    251 0.239  8.30  -123.4    29.4   5.4   1.6   96.3   8.34    11.5
08/10/12 07:31:13 22.46    251 0.239  8.30  -122.9    27.1   4.8   1.4   95.6   8.28    11.5
08/10/12 08:01:13 22.46    252 0.239  8.28  -122.1    31.0   8.5   2.5   94.8   8.21    11.4
08/10/12 08:31:12 22.44    251 0.239  8.29  -122.4    24.5   5.8   1.7   95.3   8.26    11.4
08/10/12 09:01:13 22.44    251 0.239  8.29  -122.6    46.5  17.1   5.0   95.3   8.26    11.5
08/10/12 09:31:12 22.44    251 0.239  8.30  -123.2    16.1  20.8   6.1   96.3   8.35    11.4
08/10/12 10:01:12 22.42    251 0.239  8.29  -122.6    35.3  51.1  15.0   95.5   8.28    11.4
08/10/12 10:31:16 22.37    251 0.238  8.29  -122.2    29.9  10.0   3.0   95.3   8.27    11.4
08/10/12 11:01:14 22.36    251 0.238  8.28  -121.9    21.6   2.6   0.8   95.1   8.26    11.4
08/10/12 11:31:13 22.39    251 0.239  8.28  -121.9    28.8   6.2   1.8   95.2   8.26    11.4
08/10/12 12:01:13 22.40    251 0.239  8.28  -122.1    32.3  80.4  23.6   95.7   8.30    11.5
08/10/12 12:31:17 22.06    252 0.237  8.24  -119.5    25.5   3.7   1.1   94.4   8.24    11.5
08/10/12 13:01:05 21.86    251 0.236  8.24  -119.0    46.6   6.4   1.9   95.5   8.37    11.5
08/10/12 13:31:11 21.98    251 0.237  8.25  -120.2    53.5  10.4   3.1   95.8   8.37    11.4
08/10/12 14:01:11 22.06    251 0.237  8.26  -120.7    52.4  12.9   3.8   95.8   8.36    11.5
08/10/12 14:31:15 22.15    251 0.238  8.27  -121.1    57.4 451.8 132.7   95.8   8.34    11.5
08/10/12 15:01:06 22.22    251 0.238  8.27  -121.5    52.5  21.3   6.3   95.9   8.34    11.5
08/10/12 15:31:13 22.28    251 0.238  8.28  -121.8    55.2   8.8   2.6   95.8   8.33    11.5
08/10/12 16:01:12 22.32    251 0.238  8.28  -121.8    96.3  27.2   8.0   95.5   8.29    11.4
08/10/12 16:31:11 22.35    251 0.238  8.28  -121.8    89.9  25.6   7.5   95.5   8.29    11.5
08/10/12 17:01:13 22.38    251 0.239  8.28  -121.7    92.2  29.3   8.6   95.6   8.29    11.5
08/10/12 17:31:15 22.39    249 0.237  8.27  -121.4   107.0  80.4  23.6   94.9   8.23    11.5
08/10/12 18:01:10 22.43    246 0.234  8.28  -122.1    59.8  49.7  14.6   95.4   8.27    11.4
08/10/12 18:31:15 22.43    244 0.232  8.28  -122.2   303.8 422.0 123.9   95.4   8.27    11.5
08/10/12 19:01:14 22.25    244 0.231  8.24  -119.4    58.7 183.4  53.9   94.0   8.18    11.5
08/10/12 19:31:06 22.11    243 0.230  8.21  -117.3    86.4  75.0  22.0   93.0   8.11    11.5
08/10/12 20:01:06 22.23    242 0.230  8.23  -119.0    84.6 217.8  64.0   93.4   8.12    11.5
08/10/12 20:31:19 22.27    242 0.229  8.25  -119.8   410.7 136.7  40.2   93.9   8.16    11.5
08/10/12 21:01:20 22.25    242 0.230  8.24  -119.4    91.8 451.8 132.7   93.4   8.12    11.4
08/10/12 21:31:10 22.24    243 0.230  8.25  -119.8   111.5 161.5  47.4   93.4   8.13    11.4
08/10/12 22:01:00 22.22    244 0.231  8.24  -119.6    65.5 120.4  35.4   93.2   8.11    11.5
08/10/12 22:31:11 22.17    245 0.232  8.23  -118.5   113.4  61.1  18.0   92.5   8.06    11.5
08/10/12 23:01:14 22.16    247 0.234  8.21  -117.7    77.8 145.0  42.6   91.8   8.00    11.4
08/10/12 23:31:12 22.12    246 0.233  8.20  -116.8    57.3  41.0  12.0   91.4   7.97    11.4
08/11/12 00:01:12 22.02    246 0.232  8.17  -115.4    58.1  98.1  28.8   90.7   7.93    11.4
08/11/12 00:31:13 21.99    245 0.231  8.17  -115.1  1024.4 127.5  37.5   90.2   7.89    11.4
08/11/12 01:01:12 21.99    245 0.231  8.17  -114.9   269.6  74.4  21.9   90.0   7.87    11.4
08/11/12 01:31:13 21.92    245 0.230  8.16  -114.3    57.3 201.6  59.2   89.7   7.85    11.4
08/11/12 02:01:11 21.79    245 0.230  8.14  -113.2   101.9 451.8 132.7   89.5   7.85    11.4
08/11/12 02:31:16 21.61    244 0.228  8.14  -113.3    61.8 129.6  38.1   90.4   7.96    11.5
08/11/12 03:01:13 21.45    244 0.228  8.14  -113.3    39.8   7.4   2.2   91.4   8.07    11.4
08/11/12 03:31:10 21.41    244 0.228  8.14  -113.0    62.5 216.1  63.5   90.9   8.04    11.4
08/11/12 04:01:06 21.31    244 0.227  8.14  -112.9   765.6 155.6  45.7   91.3   8.09    11.4
08/11/12 04:31:10 21.26    244 0.227  8.13  -112.5    40.1  38.7  11.4   91.2   8.08    11.4
08/11/12 05:01:16 21.20    244 0.226  8.13  -112.5    44.0  54.6  16.1   91.0   8.08    11.4
08/11/12 05:31:12 21.10    244 0.226  8.13  -112.5    41.1  92.3  27.1   91.3   8.12    11.4
08/11/12 06:01:11 20.98    244 0.225  8.14  -112.9    36.9  10.0   3.0   91.7   8.18    11.5
08/11/12 06:31:12 21.06    244 0.225  8.14  -113.3    27.8  12.6   3.7   91.7   8.16    11.4
08/11/12 07:01:06 21.03    244 0.225  8.14  -113.2    26.4 400.5 117.6   91.5   8.15    11.5
08/11/12 07:31:13 20.85    244 0.225  8.13  -112.3    34.0  37.6  11.1   91.4   8.16    11.4
08/11/12 08:01:11 20.86    244 0.225  8.13  -112.4    32.3   5.3   1.6   91.3   8.16    11.5
08/11/12 08:31:11 20.84    244 0.224  8.13  -112.5    31.9   3.5   1.0   91.0   8.13    11.4
08/11/12 09:01:12 20.68    244 0.224  8.12  -111.6    39.0   4.5   1.3   90.8   8.14    11.5
08/11/12 09:31:12 20.65    244 0.224  8.12  -111.6    38.5   4.1   1.2   90.8   8.15    11.4
08/11/12 10:01:12 20.75    244 0.224  8.13  -112.2   465.8   3.3   1.0   90.6   8.11    11.5
08/11/12 10:31:12 20.96    244 0.225  8.14  -113.1    28.7   3.4   1.0   90.6   8.08    11.5
08/11/12 11:01:12 21.22    244 0.226  8.16  -114.3    22.4   1.9   0.6   91.0   8.08    11.4
08/11/12 11:31:11 21.33    244 0.226  8.17  -114.9    20.0   2.1   0.6   91.3   8.08    11.5
08/11/12 12:01:11 21.45    244 0.227  8.17  -115.1    18.5   1.7   0.5   91.3   8.06    11.4
08/11/12 12:31:11 21.49    244 0.227  8.17  -115.1    18.4   1.7   0.5   91.0   8.03    11.5
08/11/12 13:01:11 21.63    244 0.228  8.18  -115.5    17.4   1.5   0.4   91.1   8.02    11.4
08/11/12 13:31:11 21.73    244 0.229  8.18  -115.9    21.0   1.8   0.5   91.4   8.03    11.4
08/11/12 14:01:12 21.74    244 0.229  8.18  -115.5    15.5   1.8   0.5   91.3   8.02    11.4
08/11/12 14:31:11 21.77    244 0.229  8.18  -115.6    12.6   1.0   0.3   91.4   8.02    11.4
08/11/12 15:01:11 21.79    244 0.229  8.18  -115.4    15.3   1.5   0.4   91.5   8.03    11.4
08/11/12 15:31:11 21.77    244 0.229  8.17  -115.1    13.8   2.0   0.6   91.4   8.02    11.4
08/11/12 16:01:11 21.81    245 0.230  8.17  -115.1    10.5   1.1   0.3   91.7   8.04    11.4
08/11/12 16:31:11 21.81    245 0.230  8.17  -114.9    11.8   0.6   0.2   91.5   8.03    11.4
08/11/12 17:01:11 21.91    244 0.230  8.18  -115.5    10.9   1.0   0.3   92.1   8.06    11.4
08/11/12 17:31:11 21.99    244 0.230  8.19  -116.4     5.8   0.4   0.1   92.9   8.12    11.3
08/11/12 18:01:12 21.96    245 0.230  8.17  -115.3     6.2   0.9   0.3   91.9   8.04    11.5
08/11/12 18:31:12 22.01    245 0.231  8.18  -115.6     8.9   1.0   0.3   92.1   8.04    11.5
08/11/12 19:01:11 22.08    244 0.231  8.19  -116.1     5.0   0.6   0.2   92.6   8.08    11.4
08/11/12 19:31:11 22.12    244 0.231  8.20  -116.9     3.4   0.6   0.2   93.0   8.11    11.4
08/11/12 20:01:12 22.13    244 0.231  8.20  -117.0     8.2  -0.3  -0.1   93.0   8.11    11.4
08/11/12 20:31:11 22.14    244 0.231  8.20  -116.9     3.6  -0.1   0.0   92.9   8.10    11.4
08/11/12 21:01:11 22.16    244 0.231  8.20  -117.1     2.4  -0.2  -0.1   92.9   8.10    11.4
08/11/12 21:31:11 22.18    244 0.231  8.20  -116.8     2.4   0.1   0.0   92.7   8.07    11.4
08/11/12 22:01:11 22.18    245 0.231  8.19  -116.1     4.0   0.8   0.3   92.1   8.02    11.3
08/11/12 22:31:11 22.19    245 0.231  8.17  -115.2     3.1   0.5   0.1   91.6   7.97    11.4
08/11/12 23:01:12 22.17    245 0.232  8.17  -114.9     7.6  -0.1   0.0   91.3   7.95    11.4
08/11/12 23:31:12 22.14    245 0.232  8.15  -114.1     9.1  -0.1   0.0   90.7   7.91    11.4
08/12/12 00:01:12 22.07    245 0.231  8.14  -113.5     2.4   0.9   0.3   90.3   7.88    11.4
08/12/12 00:31:11 22.05    245 0.231  8.13  -112.6     4.0   0.6   0.2   89.6   7.82    11.4
08/12/12 01:01:12 22.05    246 0.232  8.14  -113.3     3.4   0.4   0.1   90.1   7.86    11.5
08/12/12 01:31:11 22.04    245 0.231  8.14  -113.3     3.5   0.6   0.2   90.3   7.88    11.4
08/12/12 02:01:11 22.04    245 0.231  8.13  -112.5     5.5   0.1   0.0   89.8   7.84    11.4
08/12/12 02:31:11 22.03    245 0.231  8.12  -111.8     3.6   0.7   0.2   90.0   7.86    11.4
08/12/12 03:01:12 22.04    245 0.231  8.16  -114.4     3.1   0.1   0.0   92.5   8.08    11.3
08/12/12 03:31:12 22.02    245 0.231  8.16  -114.8     4.2   0.1   0.0   92.5   8.08    11.4
08/12/12 04:01:11 22.01    245 0.231  8.14  -113.3     6.8   0.7   0.2   91.6   8.00    11.4
08/12/12 04:31:11 22.03    245 0.231  8.18  -116.0     1.3   0.2   0.1   95.0   8.29    11.4
08/12/12 05:01:11 22.02    245 0.231  8.18  -116.0     1.0   0.1   0.0   94.7   8.28    11.4
08/12/12 05:31:11 22.00    245 0.231  8.14  -113.2     1.4  -0.1   0.0   92.4   8.08    11.4
08/12/12 06:01:12 22.00    245 0.231  8.19  -116.0     5.8  -0.1   0.0   95.8   8.37    11.5
08/12/12 06:31:12 21.99    245 0.231  8.17  -115.1     2.2  -0.2  -0.1   94.7   8.28    11.4
08/12/12 07:01:12 21.98    245 0.231  8.17  -115.0     1.1  -0.3  -0.1   94.9   8.30    11.5
08/12/12 07:31:12 21.97    245 0.231  8.16  -114.7     2.7  -0.5  -0.2   94.7   8.28    11.3
08/12/12 08:01:12 21.96    245 0.231  8.16  -114.5     0.9   0.2   0.0   94.8   8.29    11.5
08/12/12 08:31:11 21.95    245 0.231  8.15  -114.0     3.1   0.1   0.0   94.7   8.28    11.4
08/12/12 09:01:12 21.92    246 0.231  8.13  -112.8     0.9   0.3   0.1   93.5   8.19    11.4
08/12/12 09:31:11 21.91    246 0.231  8.14  -113.2     0.9  -0.1   0.0   93.7   8.20    11.3
08/12/12 10:01:11 21.91    245 0.231  8.13  -112.7     1.0  -0.1   0.0   93.9   8.22    11.3
08/12/12 10:31:11 21.92    245 0.231  8.14  -113.3     1.2   0.0   0.0   94.3   8.26    11.4
08/12/12 11:01:12 21.93    245 0.231  8.15  -113.7     0.5  -0.5  -0.1   94.8   8.29    11.4
08/12/12 11:31:12 21.92    245 0.230  8.13  -112.8     0.6   0.4   0.1   94.3   8.25    11.4
08/12/12 12:01:12 21.92    245 0.231  8.14  -113.3     0.7   0.1   0.0   94.1   8.23    11.4
08/12/12 12:31:12 21.84    246 0.231  8.09  -110.4     1.2   0.0   0.0   90.7   7.95    11.4
08/12/12 13:01:12 21.85    245 0.231  8.09  -110.4     1.0   0.0   0.0   91.0   7.98    11.4
08/12/12 13:31:11 21.86    245 0.231  8.09  -110.5     0.6   0.0   0.0   91.2   7.99    11.3
08/12/12 14:01:12 21.88    246 0.231  8.11  -111.5     0.6   0.1   0.0   92.1   8.07    11.4
08/12/12 14:31:11 21.90    246 0.232  8.14  -113.1     0.7   0.9   0.3   93.4   8.17    11.4
08/12/12 15:01:11 21.91    246 0.232  8.14  -113.2     0.6   0.1   0.0   92.9   8.14    11.4
08/12/12 15:31:11 21.91    246 0.232  8.13  -112.4   290.9  -0.3  -0.1   92.2   8.07    11.4
